inspection_id,date,area,inspector,findings_count,critical_findings,status
EHSI0001,2025-05-14,Roof Access,Donna Perez,14,0,Closed
EHSI0002,2025-05-23,Electrical Room,Sandra Davis,10,3,Open
EHSI0003,2024-03-23,Loading Dock,Edward Taylor,14,3,Closed
EHSI0004,2024-04-20,Chemical Storage,Donald Jackson,11,3,Open
EHSI0005,2026-06-29,Lab,Kimberly Lopez,15,2,Closed
EHSI0006,2025-06-29,HQ Office,Paul Smith,2,0,Open
EHSI0007,2024-07-04,Parking Lot,Karen Nelson,11,2,Closed
EHSI0008,2024-11-20,Chemical Storage,John Harris,14,1,Closed
EHSI0009,2024-02-05,Loading Dock,Kevin Torres,14,0,Open
EHSI0010,2024-07-21,Loading Dock,Betty Martinez,3,0,Closed
EHSI0011,2024-11-14,Chemical Storage,Sandra Taylor,1,1,Closed
EHSI0012,2024-10-13,HQ Office,Kenneth Brown,6,0,Open
EHSI0013,2025-06-24,Chemical Storage,Robert Martinez,5,3,In Progress
EHSI0014,2024-09-18,Lab,Donna Rodriguez,14,1,Closed
EHSI0015,2026-02-28,Roof Access,David Hill,7,1,Closed
EHSI0016,2024-05-04,Lab,Jennifer Baker,2,0,Open
EHSI0017,2026-05-08,Roof Access,Robert Thompson,4,1,In Progress
EHSI0018,2024-09-17,Plant B Floor,Jennifer Wright,4,2,Closed
EHSI0019,2025-12-10,HQ Office,Jessica Davis,9,1,In Progress
EHSI0020,2024-12-02,Warehouse,John Flores,6,0,Closed
EHSI0021,2024-12-25,Warehouse,Christopher Johnson,15,0,In Progress
EHSI0022,2025-03-29,Loading Dock,Andrew White,3,0,Closed
EHSI0023,2024-08-22,Roof Access,Carol Moore,12,1,In Progress
EHSI0024,2026-05-14,Warehouse,Linda Walker,3,3,In Progress
EHSI0025,2025-07-20,Lab,Steven Ramirez,10,1,Closed
EHSI0026,2024-06-15,Parking Lot,Daniel Davis,8,3,In Progress
EHSI0027,2024-06-05,Roof Access,George Nelson,12,0,Closed
EHSI0028,2025-12-03,Roof Access,Christopher Hernandez,12,1,In Progress
EHSI0029,2025-09-18,Warehouse,Michelle Davis,1,0,Closed
EHSI0030,2024-05-04,Parking Lot,Jennifer Miller,1,0,Open
EHSI0031,2024-04-13,Loading Dock,Maria Jackson,15,0,In Progress
EHSI0032,2025-05-23,Roof Access,Nancy Allen,15,1,Open
EHSI0033,2025-01-17,Roof Access,Edward Smith,4,0,Open
