emp_id,name,dept,title,hire_date,status,salary,manager_id,location
E1000,Kevin Davis,Engineering,Engineering Director,2015-12-09,Active,84100.0,,Columbus HQ
E1001,Robert Baker,Engineering,Engineering Manager,2023-02-19,Active,102400.0,E1000,Columbus HQ
E1002,Jennifer Wilson,Engineering,Engineering Manager,2018-09-20,Terminated,87900.0,E1002,Columbus HQ
E1003,George Wright,Engineering,Engineering Manager,2021-04-15,Active,127600.0,E1000,Columbus HQ
E1004,Ronald Hernandez,Engineering,Sr Engineering Associate,2021-06-09,Active,137200.0,E1000,Columbus HQ
E1005,Jennifer Harris,Engineering,Engineering Specialist,2016-06-28,Active,92200.0,E1003,Columbus HQ
E1006,Andrew Davis,Engineering,Sr Engineering Associate,2021-02-18,Active,115900.0,E1001,Columbus HQ
E1007,Melissa Jones,Engineering,Engineering Analyst,2015-11-08,Active,139000.0,E1000,Columbus HQ
E1008,Anthony Moore,Engineering,Engineering Analyst,2022-11-27,Active,99100.0,E1002,Columbus HQ
E1009,George Baker,Engineering,Engineering Analyst,2025-02-20,Active,116300.0,E1001,Columbus HQ
E1010,Ashley Harris,Engineering,Engineering Specialist,2019-11-23,Active,119500.0,E1001,Columbus HQ
E1011,David Lee,Engineering,Sr Engineering Associate,2021-05-03,Active,136300.0,E1001,Columbus HQ
E1012,Carol Young,Engineering,Sr Engineering Associate,2021-11-15,Active,84100.0,E1003,Columbus HQ
E1013,Donna Sanchez,Engineering,Engineering Specialist,2020-04-05,Active,80900.0,E1000,Columbus HQ
E1014,Patricia Green,Engineering,Engineering Coordinator,2017-11-14,Active,100000.0,E1002,Columbus HQ
E1015,Emily Smith,Engineering,Sr Engineering Associate,2025-12-04,Active,119300.0,E1002,Columbus HQ
E1016,Linda Jackson,Engineering,Sr Engineering Associate,2021-03-15,Terminated,121900.0,E1001,Columbus HQ
E1017,Paul Miller,Engineering,Engineering Analyst,2025-05-27,Active,116500.0,E1001,Columbus HQ
E1018,Betty Carter,Engineering,Sr Engineering Associate,2017-09-25,Active,134700.0,E1003,Columbus HQ
E1019,Maria Davis,Engineering,Engineering Specialist,2020-05-08,Active,132100.0,E1000,Columbus HQ
E1020,Edward Young,Engineering,Engineering Analyst,2016-09-25,Active,117900.0,E1002,Columbus HQ
E1021,Kimberly Hill,Engineering,Sr Engineering Associate,2021-04-18,Active,119800.0,E1003,Columbus HQ
E1022,Brian Adams,Engineering,Engineering Specialist,2020-08-17,Active,91100.0,E1002,Columbus HQ
E1023,Maria Nguyen,Engineering,Engineering Specialist,2023-04-19,Active,89300.0,E1000,Columbus HQ
E1024,Thomas Jones,Engineering,Engineering Coordinator,2015-06-03,Active,93100.0,E1001,Columbus HQ
E1025,Andrew Rodriguez,Engineering,Engineering Coordinator,2024-10-16,Active,90800.0,E1003,Columbus HQ
E1026,Richard Miller,Engineering,Engineering Specialist,2016-11-14,Active,101700.0,E1000,Columbus HQ
E1027,Sarah Sanchez,Engineering,Engineering Analyst,2020-02-08,Active,109900.0,E1003,Columbus HQ
E1028,Barbara Moore,Engineering,Engineering Specialist,2022-04-28,Active,103800.0,E1000,Columbus HQ
E1029,Carol Wright,Engineering,Engineering Coordinator,2015-02-25,Active,85800.0,E1003,Columbus HQ
E1030,Susan Sanchez,Engineering,Engineering Coordinator,2015-03-13,Terminated,100400.0,E1002,Columbus HQ
E1031,Sandra Hall,Engineering,Engineering Analyst,2023-11-23,Active,106600.0,E1002,Columbus HQ
E1032,Susan Brown,Engineering,Sr Engineering Associate,2024-12-18,Active,79000.0,E1000,Columbus HQ
E1033,Sarah Nguyen,Engineering,Engineering Specialist,2022-09-28,Active,78700.0,E1001,Columbus HQ
E1034,Michael Hill,Engineering,Engineering Analyst,2016-11-28,Active,82800.0,E1000,Columbus HQ
E1035,Michelle Garcia,Engineering,Sr Engineering Associate,2021-11-19,Active,95600.0,E1001,Columbus HQ
E1036,Brian Rivera,Engineering,Sr Engineering Associate,2020-04-09,Active,118700.0,E1003,Columbus HQ
E1037,Daniel Carter,Engineering,Engineering Specialist,2016-01-15,Active,111600.0,E1000,Columbus HQ
E1038,Andrew Wilson,Engineering,Engineering Specialist,2023-05-05,Active,135700.0,E1001,Columbus HQ
E1039,Betty Jackson,Engineering,Engineering Specialist,2017-08-27,Active,94700.0,E1002,Columbus HQ
E1040,Brian Miller,Engineering,Engineering Analyst,2017-05-04,Active,123300.0,E1002,Columbus HQ
E1041,Christopher Hill,Engineering,Sr Engineering Associate,2018-12-11,Active,116200.0,E1003,Columbus HQ
E1042,Charles Brown,Finance,Finance Director,2016-11-14,Active,67400.0,,Columbus HQ
E1043,Lisa Roberts,Finance,Finance Manager,2017-11-09,Active,89300.0,E1043,Columbus HQ
E1044,Linda Jones,Finance,Finance Manager,2017-09-02,Active,97000.0,E1042,Columbus HQ
E1045,Sandra Rodriguez,Finance,Finance Manager,2015-05-12,Active,108800.0,E1042,Columbus HQ
E1046,Matthew Wilson,Finance,Finance Coordinator,2025-04-22,Active,70700.0,E1043,Columbus HQ
E1047,Jessica Hernandez,Finance,Finance Coordinator,2017-07-01,Active,115800.0,E1043,Columbus HQ
E1048,Karen Hernandez,Finance,Finance Analyst,2016-07-28,Active,90900.0,E1045,Columbus HQ
E1049,Matthew Martin,Finance,Sr Finance Associate,2018-04-01,Active,86900.0,E1042,Columbus HQ
E1050,Stephanie Moore,Finance,Sr Finance Associate,2020-11-17,Active,119000.0,E1042,Columbus HQ
E1051,Linda Taylor,Finance,Sr Finance Associate,2017-10-09,Active,97800.0,E1044,Columbus HQ
E1052,Sandra Hill,Finance,Finance Analyst,2023-02-13,Active,114500.0,E1044,Columbus HQ
E1053,David Rivera,Finance,Finance Analyst,2021-01-17,Active,94600.0,E1044,Columbus HQ
E1054,Sandra Jones,Finance,Finance Specialist,2025-06-20,Active,82300.0,E1044,Columbus HQ
E1055,Paul Martin,Finance,Sr Finance Associate,2025-07-11,Active,87100.0,E1043,Columbus HQ
E1056,Richard Clark,Finance,Finance Analyst,2025-07-22,Active,106100.0,E1044,Columbus HQ
E1057,Margaret Scott,Finance,Sr Finance Associate,2015-05-10,Active,108200.0,E1045,Columbus HQ
E1058,Donald Lewis,Finance,Finance Analyst,2025-04-17,Active,91000.0,E1042,Columbus HQ
E1059,Christopher Allen,Finance,Finance Analyst,2025-11-20,Active,83400.0,E1044,Columbus HQ
E1060,Thomas Gonzalez,HR,HR Director,2017-01-02,Active,76400.0,,Columbus HQ
E1061,Stephanie Jones,HR,HR Manager,2022-07-21,Active,87300.0,E1061,Columbus HQ
E1062,Dorothy Sanchez,HR,HR Manager,2018-03-21,Active,95200.0,E1060,Columbus HQ
E1063,Stephanie Ramirez,HR,HR Manager,2018-03-26,Active,78300.0,E1060,Columbus HQ
E1064,Emily Thomas,HR,Sr HR Associate,2016-08-05,Active,85000.0,E1063,Columbus HQ
E1065,Michelle Campbell,HR,HR Coordinator,2023-07-27,Active,95800.0,E1061,Columbus HQ
